Datetime,Close,Volume
2024-02-09 09:30:00-05:00,188.38999938964844,1211704
2024-02-09 09:31:00-05:00,188.0959930419922,269456
2024-02-09 09:32:00-05:00,188.25,141904
2024-02-09 09:33:00-05:00,188.3300018310547,121673
2024-02-09 09:34:00-05:00,188.4149932861328,125479
2024-02-09 09:35:00-05:00,188.3000030517578,112258
2024-02-09 09:36:00-05:00,188.49000549316406,117987
2024-02-09 09:37:00-05:00,188.39990234375,142574
2024-02-09 09:38:00-05:00,188.40499877929688,98114
2024-02-09 09:39:00-05:00,188.4600067138672,95835
2024-02-09 09:40:00-05:00,188.38250732421875,86114
2024-02-09 09:41:00-05:00,188.44000244140625,83032
2024-02-09 09:42:00-05:00,188.4499969482422,115476
2024-02-09 09:43:00-05:00,188.37330627441406,89038
2024-02-09 09:44:00-05:00,188.42880249023438,106439
2024-02-09 09:45:00-05:00,188.47500610351562,114680
2024-02-09 09:46:00-05:00,188.47999572753906,74874
2024-02-09 09:47:00-05:00,188.38499450683594,83829
2024-02-09 09:48:00-05:00,188.34609985351562,123241
2024-02-09 09:49:00-05:00,188.38189697265625,76385
2024-02-09 09:50:00-05:00,188.4149932861328,92768
2024-02-09 09:51:00-05:00,188.3699951171875,98649
2024-02-09 09:52:00-05:00,188.4149932861328,80343
2024-02-09 09:53:00-05:00,188.48989868164062,109225
2024-02-09 09:54:00-05:00,188.55999755859375,102657
2024-02-09 09:55:00-05:00,188.52000427246094,129283
2024-02-09 09:56:00-05:00,188.55499267578125,76415
2024-02-09 09:57:00-05:00,188.5500030517578,65648
2024-02-09 09:58:00-05:00,188.50999450683594,118208
2024-02-09 09:59:00-05:00,188.6699981689453,105980
2024-02-09 10:00:00-05:00,188.65499877929688,188541
2024-02-09 10:01:00-05:00,188.55999755859375,116442
2024-02-09 10:02:00-05:00,188.46499633789062,116184
2024-02-09 10:03:00-05:00,188.54010009765625,83313
2024-02-09 10:04:00-05:00,188.61000061035156,82051
2024-02-09 10:05:00-05:00,188.6649932861328,91703
2024-02-09 10:06:00-05:00,188.59500122070312,68965
2024-02-09 10:07:00-05:00,188.6501007080078,57185
2024-02-09 10:08:00-05:00,188.58749389648438,82154
2024-02-09 10:09:00-05:00,188.4600067138672,145059
2024-02-09 10:10:00-05:00,188.57000732421875,76813
2024-02-09 10:11:00-05:00,188.548095703125,79720
2024-02-09 10:12:00-05:00,188.39999389648438,139621
2024-02-09 10:13:00-05:00,188.39500427246094,121129
2024-02-09 10:14:00-05:00,188.42999267578125,74867
2024-02-09 10:15:00-05:00,188.46499633789062,90198
2024-02-09 10:16:00-05:00,188.52459716796875,61239
2024-02-09 10:17:00-05:00,188.61500549316406,96681
2024-02-09 10:18:00-05:00,188.67999267578125,113536
2024-02-09 10:19:00-05:00,188.61500549316406,125749
2024-02-09 10:20:00-05:00,188.59500122070312,98235
2024-02-09 10:21:00-05:00,188.6649932861328,78137
2024-02-09 10:22:00-05:00,188.58079528808594,88136
2024-02-09 10:23:00-05:00,188.57000732421875,49500
2024-02-09 10:24:00-05:00,188.65989685058594,80364
2024-02-09 10:25:00-05:00,188.63999938964844,93086
2024-02-09 10:26:00-05:00,188.53500366210938,67414
2024-02-09 10:27:00-05:00,188.53160095214844,171272
2024-02-09 10:28:00-05:00,188.52000427246094,89077
2024-02-09 10:29:00-05:00,188.49000549316406,73552
2024-02-09 10:30:00-05:00,188.47000122070312,99846
2024-02-09 10:31:00-05:00,188.4250030517578,99808
2024-02-09 10:32:00-05:00,188.506103515625,71670
2024-02-09 10:33:00-05:00,188.59500122070312,95333
2024-02-09 10:34:00-05:00,188.72000122070312,222405
2024-02-09 10:35:00-05:00,188.80499267578125,141762
2024-02-09 10:36:00-05:00,188.7877960205078,107788
2024-02-09 10:37:00-05:00,188.72500610351562,99127
2024-02-09 10:38:00-05:00,188.7010040283203,78573
2024-02-09 10:39:00-05:00,188.74000549316406,81494
2024-02-09 10:40:00-05:00,188.7198944091797,70616
2024-02-09 10:41:00-05:00,188.72000122070312,77168
2024-02-09 10:42:00-05:00,188.70989990234375,58438
2024-02-09 10:43:00-05:00,188.7449951171875,55604
2024-02-09 10:44:00-05:00,188.6999969482422,98767
2024-02-09 10:45:00-05:00,188.7100067138672,84573
2024-02-09 10:46:00-05:00,188.73500061035156,73232
2024-02-09 10:47:00-05:00,188.68499755859375,42275
2024-02-09 10:48:00-05:00,188.66000366210938,154384
2024-02-09 10:49:00-05:00,188.6956024169922,69012
2024-02-09 10:50:00-05:00,188.67550659179688,65619
2024-02-09 10:51:00-05:00,188.6649932861328,60262
2024-02-09 10:52:00-05:00,188.6699981689453,46841
2024-02-09 10:55:00-05:00,188.71499633789062,203922
2024-02-09 10:56:00-05:00,188.7310028076172,62063
2024-02-09 10:57:00-05:00,188.74000549316406,69057
2024-02-09 10:58:00-05:00,188.63340759277344,159390
2024-02-09 10:59:00-05:00,188.6761932373047,92834
2024-02-09 11:00:00-05:00,188.71499633789062,62071
2024-02-09 11:01:00-05:00,188.7449951171875,76979
2024-02-09 11:02:00-05:00,188.72999572753906,83890
2024-02-09 11:03:00-05:00,188.74000549316406,53664
2024-02-09 11:04:00-05:00,188.73500061035156,53080
2024-02-09 11:05:00-05:00,188.78500366210938,85173
2024-02-09 11:06:00-05:00,188.77499389648438,81218
2024-02-09 11:07:00-05:00,188.85000610351562,106341
2024-02-09 11:08:00-05:00,188.9149932861328,182409
2024-02-09 11:09:00-05:00,188.88999938964844,239396
2024-02-09 11:10:00-05:00,188.91000366210938,71960
2024-02-09 11:11:00-05:00,189.11740112304688,280612
2024-02-09 11:12:00-05:00,189.25270080566406,297343
2024-02-09 11:13:00-05:00,189.3970947265625,228389
2024-02-09 11:14:00-05:00,189.41000366210938,172545
2024-02-09 11:15:00-05:00,189.49000549316406,194602
2024-02-09 11:16:00-05:00,189.74879455566406,545216
2024-02-09 11:17:00-05:00,189.48500061035156,208909
2024-02-09 11:18:00-05:00,189.6580047607422,141198
2024-02-09 11:19:00-05:00,189.67999267578125,132687
2024-02-09 11:20:00-05:00,189.7449951171875,161937
2024-02-09 11:21:00-05:00,189.78799438476562,123502
2024-02-09 11:22:00-05:00,189.6800994873047,152277
2024-02-09 11:23:00-05:00,189.77499389648438,132336
2024-02-09 11:24:00-05:00,189.76800537109375,79363
2024-02-09 11:25:00-05:00,189.7050018310547,120958
2024-02-09 11:26:00-05:00,189.62600708007812,128918
2024-02-09 11:27:00-05:00,189.58990478515625,161637
2024-02-09 11:28:00-05:00,189.5032958984375,155856
2024-02-09 11:29:00-05:00,189.58580017089844,105766
2024-02-09 11:30:00-05:00,189.64500427246094,107295
2024-02-09 11:31:00-05:00,189.5850067138672,112913
2024-02-09 11:32:00-05:00,189.61500549316406,105501
2024-02-09 11:33:00-05:00,189.56500244140625,95574
2024-02-09 11:34:00-05:00,189.6699981689453,137411
2024-02-09 11:35:00-05:00,189.5749969482422,124321
2024-02-09 11:36:00-05:00,189.6721954345703,114017
2024-02-09 11:37:00-05:00,189.58999633789062,155506
2024-02-09 11:38:00-05:00,189.61500549316406,79847
2024-02-09 11:39:00-05:00,189.69000244140625,83848
2024-02-09 11:40:00-05:00,189.77499389648438,91860
2024-02-09 11:41:00-05:00,189.74000549316406,104998
2024-02-09 11:42:00-05:00,189.84019470214844,107382
2024-02-09 11:43:00-05:00,189.92539978027344,234681
2024-02-09 11:44:00-05:00,189.97999572753906,183207
2024-02-09 11:45:00-05:00,189.88499450683594,193786
2024-02-09 11:46:00-05:00,189.86199951171875,111944
2024-02-09 11:47:00-05:00,189.9250030517578,149814
2024-02-09 11:48:00-05:00,189.94500732421875,88409
2024-02-09 11:49:00-05:00,189.8800048828125,58892
2024-02-09 11:50:00-05:00,189.7987060546875,126000
2024-02-09 11:51:00-05:00,189.77969360351562,113326
2024-02-09 11:52:00-05:00,189.7899932861328,141205
2024-02-09 11:53:00-05:00,189.69000244140625,129203
2024-02-09 11:54:00-05:00,189.69720458984375,84096
2024-02-09 11:55:00-05:00,189.67999267578125,99424
2024-02-09 11:56:00-05:00,189.76499938964844,106162
2024-02-09 11:57:00-05:00,189.7855987548828,52152
2024-02-09 11:58:00-05:00,189.7949981689453,53654
2024-02-09 11:59:00-05:00,189.77000427246094,0
2024-02-09 12:00:00-05:00,189.79989624023438,87825
2024-02-09 12:01:00-05:00,189.75599670410156,100665
2024-02-09 12:02:00-05:00,189.7449951171875,73683
2024-02-09 12:03:00-05:00,189.76499938964844,57673
2024-02-09 12:04:00-05:00,189.6999969482422,43822
2024-02-09 12:05:00-05:00,189.64500427246094,102971
2024-02-09 12:06:00-05:00,189.74310302734375,56665
2024-02-09 12:07:00-05:00,189.64999389648438,47564
2024-02-09 12:08:00-05:00,189.59500122070312,106135
2024-02-09 12:09:00-05:00,189.58999633789062,89665
2024-02-09 12:10:00-05:00,189.49000549316406,86706
2024-02-09 12:11:00-05:00,189.4499969482422,74064
2024-02-09 12:12:00-05:00,189.48500061035156,90067
2024-02-09 12:13:00-05:00,189.38999938964844,105581
2024-02-09 12:14:00-05:00,189.40919494628906,0
